,date,name,price,url
0,01-02-2025,Rolex 2004 Fresh Service Box No Date Two Line 14060m Submariner ,7999,https://www.chrono24.com/rolex/2004-fresh-service-box-no-date-two-line-14060m-submariner--id38461190.htm
1,01-02-2025,Rolex In Stock Sea-Dweller Deepsea Black Dial 116660 Oyster Bracelet  ,10195,https://www.chrono24.com/rolex/in-stock-sea-dweller-deepsea-black-dial-116660-oyster-bracelet--id38370374.htm
2,01-02-2025,Rolex Datejust 36 Blue Index Dial Stainless Steel Jubilee Bracelet Fluted Bezel Pre Owned ,9995,https://www.chrono24.com/rolex/rolex-datejust-36-blue-index-dial-stainless-steel-jubilee-bracelet-fluted-bezel-pre-owned--id34413081.htm
3,01-02-2025,Rolex Oyster Perpetual 36 Celebration Dial 10/2023 Smooth Steel Bracelet ,13020,https://www.chrono24.com/rolex/rolex-oyster-perpetual-36-celebration-dial-102023-smooth-steel-bracelet--id38278785.htm
4,01-02-2025,Rolex Yacht-Master II 44mm 18K Yellow Gold White Dial Oyster Men's Watch 116688 ,34990,https://www.chrono24.com/rolex/rolex-yacht-master-ii-44mm-18k-yellow-gold-white-dial-oyster-mens-watch-116688--id38023920.htm
5,01-02-2025,Rolex Daytona ,32500,https://www.chrono24.com/rolex/rolex-daytona--id37623661.htm
6,01-02-2025,Rolex Sky-Dweller 42mm Blue Dial Jubilee Fluted Steel 336934 - Complete ,23950,https://www.chrono24.com/rolex/rolex-sky-dweller-42mm-blue-dial-jubilee-fluted-steel-336934---complete--id36588774.htm
7,01-02-2025,Rolex Submariner Date Two-Tone 40mm G-Serial 116613N ,13350,https://www.chrono24.com/rolex/rolex-submariner-date-two-tone-40mm-g-serial-116613n--id38256125.htm
8,01-02-2025,Rolex Submariner Date 116613LB Mint Like New Full Set Bluesy ,14800,https://www.chrono24.com/rolex/rolex-submariner-date-116613lb-mint-like-new-full-set-bluesy--id34940845.htm
9,01-02-2025,Rolex 2022 MINT Rolex Sprite Jubilee Bracelet Green Black Bezel GMT-Master II ,15999,https://www.chrono24.com/rolex/2022-mint-rolex-sprite-jubilee-bracelet-green-black-bezel-gmt-master-ii--id38457276.htm
10,01-02-2025,Rolex - Pre-owned Rose Gold Day-Date Presidential Sundust 228235 ,44995,https://www.chrono24.com/rolex/--pre-owned-rose-gold-day-date-presidential-sundust-228235--id37959228.htm
11,01-02-2025,Rolex In Stock Daytona Black Dial 116500LN Oyster Bracelet ,23695,https://www.chrono24.com/rolex/in-stock-daytona-black-dial-116500ln-oyster-bracelet--id38461107.htm
12,01-02-2025,Rolex Datejust 36 Mint Green Dial Stainless Steel Fluted Bezel Oyster Bracelet ,11995,https://www.chrono24.com/rolex/rolex-datejust-36-mint-green-dial-stainless-steel-fluted-bezel-oyster-bracelet--id34244823.htm
13,01-02-2025,Rolex Day-Date 40 Rose Gold Chocolate Motif 2022 ,43000,https://www.chrono24.com/rolex/rolex-day-date-40-rose-gold-chocolate-motif-2022--id32889247.htm
14,01-02-2025,Rolex Sky-Dweller Jubilee 42mm Stainless Green Dial Fluted 336934 – 2024 ,26700,https://www.chrono24.com/rolex/sky-dweller-jubilee-42mm-stainless-green-dial-fluted-336934--2024--id37669693.htm
15,01-02-2025,Rolex Datejust 36 Ref. 126200 / Jubilee / 2024 ,8950,https://www.chrono24.com/rolex/rolex-datejust-36-ref-126200--jubilee--2024--id38458806.htm
16,01-02-2025,"Rolex Day Date New | Pave Rainbow Diamond Dial, Diamond Bezel ",149000,https://www.chrono24.com/rolex/day-date--id38275407.htm
17,01-02-2025,Rolex NEW 2024 Datejust 41mm 126331 Two-Tone Jubilee Sundust Diamond Dial ,17850,https://www.chrono24.com/rolex/rolex-new-2024-datejust-41mm-126331-two-tone-jubilee-sundust-diamond-dial--id36308655.htm
18,01-02-2025,Rolex Day-Date 40 Black Dial 18k Yellow Gold President 228238 ,39999,https://www.chrono24.com/rolex/rolex-day-date-40-black-dial-18k-yellow-gold-president-228238--id35568786.htm
19,01-02-2025,Rolex Submariner HULK Full Set Mint Condition 116610LV Like NEW ,19300,https://www.chrono24.com/rolex/submariner-hulk-full-set-mint-condition-116610lv-like-new--id29352831.htm
20,01-02-2025,Rolex GMT-Master II Bruce Wayne Oyster ,17439,https://www.chrono24.com/rolex/rolex-gmt-master-ii-bruce-wayne-oyster--id35651302.htm
21,01-02-2025,Rolex In Stock 2024 Datejust 41 Blue Index Dial 126300 Jubilee Bracelet ,11295,https://www.chrono24.com/rolex/in-stock-2024-datejust-41-blue-index-dial-126300-jubilee-bracelet--id38475405.htm
22,01-02-2025,Rolex GMT-Master II Coke 1995 Crisp ,11488,https://www.chrono24.com/rolex/rolex-gmt-master-ii-coke-1995-crisp--id37398762.htm
23,01-02-2025,Rolex GMT-Master II Black Dial Ceramic Bezel Two Tone Yellow Gold Oyster Pre Owned Mint ,13495,https://www.chrono24.com/rolex/rolex-gmt-master-ii-black-dial-ceramic-bezel-two-tone-yellow-gold-oyster-pre-owned-mint--id35356989.htm
24,01-02-2025,Rolex Day-Date 40 Rose Gold Sundust Roman Dial 2021 ,41500,https://www.chrono24.com/rolex/rolex-day-date-40-rose-gold-sundust-roman-dial-2021--id28856292.htm
25,01-02-2025,Rolex Sky-Dweller ,37900,https://www.chrono24.com/rolex/sky-dweller--id28526718.htm
26,01-02-2025,Rolex 2024 Fluted Oyster NEW 126334 Mint Green Dial ,15245,https://www.chrono24.com/rolex/2024-fluted-oyster-new-126334-mint-green-dial--id32746127.htm
27,01-02-2025,Rolex Datejust 36 ,4899,https://www.chrono24.com/rolex/rolex-datejust-36--id37761225.htm
28,01-02-2025,Rolex Datejust ,17888,https://www.chrono24.com/rolex/datejust--id30984363.htm
29,01-02-2025,Rolex NEW 2024 Lady Datejust 28mm 279174 Stainless Steel Jubilee Pink Dial ,11660,https://www.chrono24.com/rolex/rolex-new-2024-lady-datejust-28mm-279174-stainless-steel-jubilee-pink-dial--id32782177.htm
30,01-02-2025,Rolex Sky-Dweller Blue Dial 326934 Oyster Unworn Full Set Blue Dial ,20500,https://www.chrono24.com/rolex/rolex-sky-dweller-blue-dial-326934-oyster-unworn-full-set-blue-dial--id35946918.htm
31,01-02-2025,Rolex Datejust 41 ,13750,https://www.chrono24.com/rolex/datejust-41--id38412593.htm
32,01-02-2025,Rolex In Stock 2023 Datejust 36 Blue Diamond Dial 126234 Oyster Bracelet ,10995,https://www.chrono24.com/rolex/in-stock-2023-datejust-36-blue-diamond-dial-126234-oyster-bracelet--id37916149.htm
